INDEX,ADVERSARY,PROCEDURES,TACTICS,TECHNIQUES,MALWARE,TOOLS,(%) TACTICS,(%) TECHNIQUES,(%) MALWARE,(%) TOOLS
1,apt29,54,12,54,32,14,86%,7%,7%,18%
2,sidewinder,30,10,30,0,1,72%,4%,4%,2%
3,platinum,11,7,11,3,0,50%,2%,2%,0%
4,turla,66,12,66,13,13,86%,9%,9%,16%
5,blacktech,14,8,14,5,1,58%,2%,2%,2%
6,patchwork,40,12,40,6,2,86%,6%,6%,3%
7,rocke,36,10,36,0,0,72%,5%,5%,0%
8,kimsuky,89,13,89,6,4,93%,12%,12%,5%
9,apt3,43,11,43,4,2,79%,6%,6%,3%
10,bronze-butler,40,11,40,7,7,79%,6%,6%,9%
11,bitter,16,7,16,1,0,50%,3%,3%,0%
12,leviathan,44,12,44,10,7,86%,6%,6%,9%
13,chimera,59,13,59,1,5,93%,8%,8%,7%
14,apt1,23,8,23,6,11,58%,3%,3%,14%
15,dragonfly-2.0,0,0,0,0,0,0%,0%,0%,0%
16,dark-caracal,12,8,12,3,0,58%,2%,2%,0%
17,ta459,5,2,5,4,0,15%,1%,1%,0%
18,lazyscripter,20,7,20,3,4,50%,3%,3%,5%
19,whitefly,9,7,9,0,1,50%,2%,2%,2%
20,metador,9,6,9,2,0,43%,2%,2%,0%
21,molerats,16,8,16,6,0,58%,3%,3%,0%
22,ta505,34,10,34,11,5,72%,5%,5%,7%
23,dragonfly,56,12,56,2,8,86%,8%,8%,10%
24,apt41,60,12,60,14,12,86%,8%,8%,15%
25,oilrig,56,11,56,10,11,79%,8%,8%,14%
26,fin8,30,11,30,2,4,79%,4%,4%,5%
27,tonto-team,15,10,15,2,4,72%,2%,2%,5%
28,threat-group-3390,57,12,57,12,12,86%,8%,8%,15%
29,frankenstein,0,0,0,0,0,0%,0%,0%,0%
30,lazarus-group,91,14,91,21,4,100%,12%,12%,5%
31,hafnium,31,12,31,3,2,86%,4%,4%,3%
32,windshift,19,7,19,1,0,50%,3%,3%,0%
33,hexane,35,12,35,5,7,86%,5%,5%,9%
34,evilnum,11,8,11,2,1,58%,2%,2%,2%
35,apt39,52,12,52,4,7,86%,7%,7%,9%
36,wizard-spider,46,13,46,8,8,93%,6%,6%,10%
37,honeybee,0,0,0,0,0,0%,0%,0%,0%
38,earth-lusca,44,13,44,3,6,93%,6%,6%,8%
39,luminousmoth,28,12,28,2,0,86%,4%,4%,0%
40,magic-hound,77,14,77,3,9,100%,10%,10%,11%
41,gamaredon-group,48,12,48,3,1,86%,7%,7%,2%
42,ke3chang,45,12,45,3,8,86%,6%,6%,10%
43,fin10,11,8,11,0,1,58%,2%,2%,2%
44,fin7,40,13,40,13,4,93%,6%,6%,5%
45,apt28,86,14,86,17,9,100%,11%,11%,11%
46,group5,4,3,4,2,0,22%,1%,1%,0%
47,tropic-trooper,39,10,39,5,1,72%,5%,5%,2%
48,stealth-falcon,16,8,16,0,0,58%,3%,3%,0%
49,axiom,16,10,16,8,0,72%,3%,3%,0%
50,leafminer,17,9,17,0,4,65%,3%,3%,5%
51,apt-c-36,9,7,9,0,1,50%,2%,2%,2%
52,darkhotel,24,10,24,0,0,72%,4%,4%,0%
53,menupass,47,11,47,12,12,79%,6%,6%,15%
54,fox-kitten,41,11,41,3,1,79%,6%,6%,2%
55,deep-panda,10,6,10,4,3,43%,2%,2%,4%
56,costaricto,0,0,0,0,0,0%,0%,0%,0%
57,apt38,43,11,43,4,2,79%,6%,6%,3%
58,fin6,40,12,40,8,4,86%,6%,6%,5%
59,zirconium,26,11,26,0,0,79%,4%,4%,0%
60,muddywater,59,13,59,6,9,93%,8%,8%,11%
61,gallmaker,6,4,6,0,0,29%,1%,1%,0%
62,lapsus$,38,12,38,0,1,86%,5%,5%,2%
63,mustang-panda,44,13,44,4,1,93%,6%,6%,2%
64,unc2452,0,0,0,0,0,0%,0%,0%,0%
65,mofang,5,3,5,1,1,22%,1%,1%,2%
66,aquatic-panda,15,10,15,2,0,72%,2%,2%,0%
67,silent-librarian,13,8,13,0,0,58%,2%,2%,0%
68,darkhydrus,7,5,7,2,1,36%,1%,1%,2%
69,darkvishnya,10,8,10,0,2,58%,2%,2%,3%
70,gallium,31,12,31,5,11,86%,4%,4%,14%
71,windigo,7,5,7,1,0,36%,1%,1%,0%
72,apt32,78,13,78,9,5,93%,10%,10%,7%
73,apt19,21,8,21,1,1,58%,3%,3%,2%
74,blue-mockingbird,22,11,22,0,1,79%,3%,3%,2%
75,teamtnt,54,14,54,1,3,100%,7%,7%,4%
76,apt37,29,10,29,13,0,72%,4%,4%,0%
77,fin4,12,8,12,0,0,58%,2%,2%,0%
78,inception,22,10,22,2,1,72%,3%,3%,2%
79,higaisa,26,8,26,2,1,58%,4%,4%,2%
80,promethium,11,7,11,2,0,50%,2%,2%,0%
81,sidecopy,16,9,16,2,0,65%,3%,3%,0%
82,backdoordiplomacy,15,8,15,2,3,58%,2%,2%,4%
83,gorgon-group,16,7,16,2,2,50%,3%,3%,3%
84,silence,28,11,28,0,3,79%,4%,4%,4%
85,cobalt-group,34,9,34,3,3,65%,5%,5%,4%
86,ember-bear,20,5,20,3,0,36%,3%,3%,0%
87,orangeworm,2,2,2,1,7,15%,1%,1%,9%
88,sandworm-team,67,14,67,13,5,100%,9%,9%,7%
89,operation-wocao,0,0,0,0,0,0%,0%,0%,0%
90,winnti-group,6,4,6,3,0,29%,1%,1%,0%
91,fin5,11,10,11,2,4,72%,2%,2%,5%
92,temp.veles,17,10,17,0,2,72%,3%,3%,3%
93,copykittens,8,5,8,3,1,36%,2%,2%,2%
94,elderwood,9,4,9,9,0,29%,2%,2%,0%
95,apt33,31,11,31,6,9,79%,4%,4%,11%
96,apt18,12,7,12,4,1,50%,2%,2%,2%
97,transparent-tribe,14,5,14,5,0,36%,2%,2%,0%
98,cleaver,5,3,5,2,2,22%,1%,1%,3%
99,equation,4,3,4,0,0,22%,1%,1%,0%
100,silverterrier,3,1,3,5,0,8%,1%,1%,0%
101,gold-southfield,9,6,9,1,1,43%,2%,2%,2%
102,naikon,14,6,14,8,7,43%,2%,2%,9%
103,apt12,5,3,5,2,1,22%,1%,1%,2%
104,ta551,14,5,14,4,0,36%,2%,2%,0%
105,ajax-security-team,6,5,6,0,2,36%,1%,1%,3%
106,wirte,11,5,11,2,1,36%,2%,2%,2%
107,indrik-spider,19,11,19,4,4,79%,3%,3%,5%
108,stolen-pencil,0,0,0,0,0,0%,0%,0%,0%
109,confucius,19,10,19,1,0,72%,3%,3%,0%
110,exotic-lily,15,5,15,2,0,36%,2%,2%,0%
111,suckfly,5,7,5,1,0,50%,1%,1%,0%
112,aoqin-dragon,9,6,9,2,0,43%,2%,2%,0%
113,night-dragon,0,0,0,0,0,0%,0%,0%,0%
114,volatile-cedar,5,4,5,2,0,29%,1%,1%,0%
115,rancor,8,6,8,2,2,43%,2%,2%,3%
116,andariel,12,8,12,2,0,58%,2%,2%,0%
117,dust-storm,0,0,0,0,0,0%,0%,0%,0%
118,sharpshooter,0,0,0,0,0,0%,0%,0%,0%
119,moses-staff,12,7,12,3,1,50%,2%,2%,2%
120,machete,11,5,11,1,0,36%,2%,2%,0%
121,sowbug,9,5,9,2,0,36%,2%,2%,0%
122,strider,3,4,3,1,0,29%,1%,1%,0%
123,nomadic-octopus,7,4,7,1,0,29%,1%,1%,0%
124,putter-panda,4,3,4,4,0,22%,1%,1%,0%
125,gelsemium,0,0,0,0,0,0%,0%,0%,0%
126,apt30,2,2,2,5,0,15%,1%,1%,0%
127,thrip,4,4,4,1,2,29%,1%,1%,3%
128,carbanak,9,6,9,1,3,43%,2%,2%,4%
129,rtm,7,6,7,1,0,43%,1%,1%,0%
130,polonium,7,7,7,2,0,50%,1%,1%,0%
131,admin@338,12,4,12,3,4,29%,2%,2%,5%
132,the-white-company,7,4,7,2,0,29%,1%,1%,0%
133,poseidon-group,8,4,8,0,0,29%,2%,2%,0%
134,pittytiger,2,5,2,3,2,36%,1%,1%,3%
135,moafee,1,1,1,1,0,8%,1%,1%,0%
136,indigozebra,7,4,7,3,0,29%,1%,1%,0%
137,ferocious-kitten,6,4,6,1,1,29%,1%,1%,2%
138,dragonok,0,0,0,2,0,0%,0%,0%,0%
139,scarlet-mimic,1,1,1,4,0,8%,1%,1%,0%
140,threat-group-1314,4,6,4,0,2,43%,1%,1%,3%
