INDEX,DATASOURCE,TECHNIQUES,SUBTECHNIQUES,% TECHNIQUES,% SUBTECHNIQUES
1,active-directory-credential-request,4,7,2%,2%
2,active-directory-object-access,3,1,2%,1%
3,active-directory-object-creation,3,5,2%,1%
4,active-directory-object-deletion,2,2,1%,1%
5,active-directory-object-modification,14,15,7%,3%
6,application-log-content,43,41,19%,8%
7,certificate-registration,1,1,1%,1%
8,cloud-storage-deletion,2,0,1%,0%
9,command-execution,111,236,49%,42%
10,container-creation,7,4,4%,1%
11,container-start,3,1,2%,1%
12,drive-access,3,2,2%,1%
13,drive-creation,5,1,3%,1%
14,drive-modification,4,4,2%,1%
15,driver-load,10,11,5%,2%
16,driver-metadata,2,2,1%,1%
17,file-access,25,23,11%,5%
18,file-creation,39,108,17%,20%
19,file-deletion,5,8,3%,2%
20,file-metadata,16,34,7%,7%
21,file-modification,44,131,20%,24%
22,firewall-enumeration,1,1,1%,1%
23,firewall-metadata,1,1,1%,1%
24,firmware-modification,5,9,3%,2%
25,host-status,6,12,3%,3%
26,image-creation,3,1,2%,1%
27,image-deletion,1,0,1%,0%
28,image-metadata,2,2,1%,1%
29,image-modification,1,0,1%,0%
30,instance-creation,3,2,2%,1%
31,instance-deletion,2,1,1%,1%
32,instance-metadata,2,3,1%,1%
33,instance-modification,1,1,1%,1%
34,instance-start,2,2,1%,1%
35,instance-stop,1,1,1%,1%
36,logon-session-creation,19,46,9%,9%
37,logon-session-metadata,9,15,4%,3%
38,malware-content,2,2,1%,1%
39,malware-metadata,2,5,1%,1%
40,module-load,24,71,11%,13%
41,network-connection-creation,37,34,17%,7%
42,network-share-access,5,1,3%,1%
43,network-traffic-content,55,60,24%,11%
44,network-traffic-flow,44,51,20%,10%
45,os-api-execution,56,83,25%,15%
46,process-access,11,22,5%,4%
47,process-creation,109,203,48%,37%
48,process-metadata,10,14,5%,3%
49,process-modification,3,16,2%,3%
50,response-content,6,20,3%,4%
51,response-metadata,2,4,1%,1%
52,scheduled-job-creation,3,15,2%,3%
53,scheduled-job-metadata,1,1,1%,1%
54,scheduled-job-modification,2,2,1%,1%
55,script-execution,16,17,7%,4%
56,service-creation,7,14,4%,3%
57,service-metadata,9,9,4%,2%
58,service-modification,6,12,3%,3%
59,snapshot-creation,2,1,1%,1%
60,snapshot-deletion,3,0,2%,0%
61,snapshot-metadata,2,1,1%,1%
62,snapshot-modification,2,0,1%,0%
63,social-media,2,2,1%,1%
64,user-account-authentication,16,32,7%,6%
65,user-account-creation,2,4,1%,1%
66,user-account-metadata,4,6,2%,2%
67,volume-creation,1,0,1%,0%
68,volume-deletion,2,0,1%,0%
69,volume-metadata,1,0,1%,0%
70,volume-modification,2,0,1%,0%
71,web-credential-creation,1,1,1%,1%
72,web-credential-usage,3,6,2%,2%
73,windows-registry-key-access,6,4,3%,1%
74,windows-registry-key-creation,14,21,7%,4%
75,windows-registry-key-modification,30,76,13%,14%
