INDEX,TOOL,PROCEDURES,ADVERSARIES,TACTICS,TECHNIQUES,% TECHNIQUES
1,net,15,27,5,15,2%
2,remoteutilities,4,1,4,4,1%
3,bloodhound,12,4,3,12,2%
4,certutil,4,9,3,4,1%
5,at,1,3,3,1,1%
6,uacme,1,0,2,1,1%
7,shimratreporter,16,1,6,16,3%
8,sliver,15,1,6,15,2%
9,silenttrinity,47,0,10,47,6%
10,powersploit,28,9,7,28,4%
11,windows-credential-editor,1,7,1,1,1%
12,impacket,9,7,4,9,2%
13,ipconfig,1,12,1,1,1%
14,aadinternals,23,1,9,23,3%
15,tasklist,3,9,1,3,1%
16,lslsass,1,1,1,1,1%
17,arp,2,3,1,2,1%
18,spwebmember,1,1,1,1,1%
19,empire,72,14,10,72,10%
20,ifconfig,1,0,1,1,1%
21,dsquery,4,2,1,4,1%
22,pcshare,20,0,9,20,3%
23,rawdisk,3,1,1,3,1%
24,netstat,1,8,1,1,1%
25,poshc2,32,2,9,32,5%
26,fgdump,1,0,1,1,1%
27,xcmd,1,1,1,1,1%
28,cspy-downloader,12,1,6,12,2%
29,rclone,6,0,3,6,1%
30,mimipenguin,1,1,1,1,1%
31,netsh,4,6,5,4,1%
32,carrotball,4,0,3,4,1%
33,bitsadmin,4,5,5,4,1%
34,meek,1,1,1,1,1%
35,roadtools,6,1,6,6,1%
36,brute-ratel-c4,33,0,9,33,5%
37,peirates,12,1,9,12,2%
38,remcos,16,2,8,16,3%
39,systeminfo,1,9,1,1,1%
40,out1,5,1,4,5,1%
41,connectwise,3,2,2,3,1%
42,imminent-monitor,16,1,8,16,3%
43,ruler,4,1,2,4,1%
44,forfiles,3,1,3,3,1%
45,winexe,1,3,1,1,1%
46,mcmd,10,1,6,10,2%
47,nltest,3,3,1,3,1%
48,mailsniper,3,1,3,3,1%
49,sqlmap,1,1,1,1,1%
50,pwdump,1,6,1,1,1%
51,responder,2,2,3,2,1%
52,pass-the-hash-toolkit,1,1,2,1,1%
53,donut,15,1,5,15,2%
54,mimikatz,17,41,5,17,3%
55,gsecdump,2,5,1,2,1%
56,ironnetinjector,8,1,5,8,2%
57,nbtstat,2,1,1,2,1%
58,invoke-psimage,2,1,1,2,1%
59,nbtscan,5,8,2,5,1%
60,lazagne,10,9,1,10,2%
61,ping,1,10,1,1,1%
62,cmd,6,5,5,6,1%
63,route,1,2,1,1,1%
64,esentutl,5,2,5,5,1%
65,crackmapexec,20,4,7,20,3%
66,koadic,27,4,9,27,4%
67,schtasks,1,3,3,1,1%
68,cachedump,1,1,1,1,1%
69,expand,3,0,2,3,1%
70,pupy,40,2,10,40,6%
71,reg,3,5,3,3,1%
72,ftp,3,5,3,3,1%
73,mythic,13,0,3,13,2%
74,htran,3,2,3,3,1%
75,sdelete,2,4,2,2,1%
76,quasarrat,24,5,9,24,4%
77,rubeus,5,0,2,5,1%
78,tor,2,3,1,2,1%
79,adfind,5,6,1,5,1%
80,wevtutil,3,1,2,3,1%
81,havij,1,1,1,1,1%
82,psexec,5,29,4,5,1%
