INDEX,ADVERSARY,TACTICS,TECHNIQUES,MALWARE,TOOLS,(%) TACTICS,(%) TECHNIQUES,(%) MALWARE,(%) TOOLS
1,lazarus-group,14,110,22,4,100%,15%,15%,5%
2,muddywater,13,59,6,9,93%,8%,8%,12%
3,menupass,11,47,12,12,79%,7%,7%,15%
4,night-dragon,0,0,0,0,0%,0%,0%,0%
5,stolen-pencil,8,9,0,2,58%,2%,2%,3%
6,hafnium,11,21,3,2,79%,3%,3%,3%
7,fin4,8,12,0,0,58%,2%,2%,0%
8,naikon,6,14,8,7,43%,2%,2%,9%
9,apt39,12,52,4,7,86%,7%,7%,9%
10,apt29,13,107,32,14,93%,14%,14%,18%
11,apt12,3,5,2,1,22%,1%,1%,2%
12,apt28,14,86,17,9,100%,12%,12%,12%
13,silent-librarian,8,13,0,0,58%,2%,2%,0%
14,darkhotel,10,24,0,0,72%,4%,4%,0%
15,ke3chang,12,45,3,8,86%,6%,6%,10%
16,apt32,13,76,9,5,93%,10%,10%,7%
17,mustang-panda,12,43,4,1,86%,6%,6%,2%
18,apt3,11,43,4,2,79%,6%,6%,3%
19,darkhydrus,5,7,2,1,36%,1%,1%,2%
20,higaisa,8,26,2,1,58%,4%,4%,2%
21,turla,12,65,13,13,86%,9%,9%,17%
22,fin7,13,40,13,4,93%,6%,6%,5%
23,lapsus$,12,36,0,1,86%,5%,5%,2%
24,dust-storm,0,0,0,0,0%,0%,0%,0%
25,chimera,13,59,1,5,93%,8%,8%,7%
26,gorgon-group,7,16,2,2,50%,3%,3%,3%
27,bronze-butler,11,40,7,7,79%,6%,6%,9%
28,cleaver,3,5,2,2,22%,1%,1%,3%
29,honeybee,0,0,0,0,0%,0%,0%,0%
30,apt41,12,59,13,11,86%,8%,8%,14%
31,leviathan,12,44,10,7,86%,6%,6%,9%
32,apt33,11,31,6,9,79%,4%,4%,12%
33,unc2452,12,54,7,2,86%,7%,7%,3%
34,zirconium,11,25,0,0,79%,4%,4%,0%
35,promethium,7,11,2,0,50%,2%,2%,0%
36,apt38,11,43,4,2,79%,6%,6%,3%
37,apt37,10,29,13,0,72%,4%,4%,0%
38,wizard-spider,13,46,8,8,93%,6%,6%,10%
39,aoqin-dragon,6,9,2,0,43%,2%,2%,0%
40,poseidon-group,4,8,0,0,29%,2%,2%,0%
41,evilnum,8,11,2,1,58%,2%,2%,2%
42,ta505,10,33,11,5,72%,5%,5%,7%
43,the-white-company,4,7,2,0,29%,1%,1%,0%
44,whitefly,7,9,0,1,50%,2%,2%,2%
45,backdoordiplomacy,8,15,2,3,58%,2%,2%,4%
46,costaricto,0,0,0,0,0%,0%,0%,0%
47,lazyscripter,7,20,3,4,50%,3%,3%,5%
48,apt1,8,23,6,11,58%,3%,3%,14%
49,dragonfly,12,56,2,8,86%,8%,8%,10%
50,silence,11,28,0,3,79%,4%,4%,4%
51,inception,10,22,2,1,72%,3%,3%,2%
52,putter-panda,3,4,4,0,22%,1%,1%,0%
53,fin10,8,11,0,1,58%,2%,2%,2%
54,sharpshooter,0,0,0,0,0%,0%,0%,0%
55,mofang,3,5,1,1,22%,1%,1%,2%
56,magic-hound,12,58,3,6,86%,8%,8%,8%
57,kimsuky,13,89,6,4,93%,12%,12%,5%
58,sandworm-team,14,71,11,4,100%,10%,10%,5%
59,patchwork,11,39,6,2,79%,6%,6%,3%
60,equation,3,4,0,0,22%,1%,1%,0%
61,dragonfly-2.0,0,0,0,0,0%,0%,0%,0%
62,tropic-trooper,10,39,5,1,72%,6%,6%,2%
63,transparent-tribe,5,14,5,0,36%,2%,2%,0%
64,molerats,8,16,6,0,58%,3%,3%,0%
65,hexane,12,35,5,7,86%,5%,5%,9%
66,earth-lusca,13,44,3,6,93%,6%,6%,8%
67,group5,3,4,2,0,22%,1%,1%,0%
68,operation-wocao,0,0,0,0,0%,0%,0%,0%
69,rocke,10,36,0,0,72%,5%,5%,0%
70,threat-group-1314,6,4,0,2,43%,1%,1%,3%
71,fin6,12,40,8,4,86%,6%,6%,5%
72,pittytiger,5,2,3,2,36%,1%,1%,3%
73,gallium,12,31,5,11,86%,4%,4%,14%
74,fin8,11,30,2,4,79%,4%,4%,5%
75,gelsemium,0,0,0,0,0%,0%,0%,0%
76,oilrig,11,56,10,11,79%,8%,8%,14%
77,sidewinder,10,29,0,1,72%,4%,4%,2%
78,carbanak,6,9,1,3,43%,2%,2%,4%
79,threat-group-3390,12,55,12,12,86%,8%,8%,15%
80,cobalt-group,9,34,3,3,65%,5%,5%,4%
81,leafminer,9,17,0,4,65%,3%,3%,5%
