INDEX,DATASOURCE,TECHNIQUES,SUBTECHNIQUES,% TECHNIQUES,% SUBTECHNIQUES
1,active-directory-credential-request,4,7,2%,2%
2,active-directory-object-access,3,1,2%,1%
3,active-directory-object-creation,3,5,2%,1%
4,active-directory-object-deletion,2,2,1%,1%
5,active-directory-object-modification,14,16,7%,3%
6,active-dns,2,3,1%,1%
7,application-log-content,40,39,18%,8%
8,certificate-registration,1,1,1%,1%
9,cloud-service-disable,1,1,1%,1%
10,cloud-service-enumeration,2,0,1%,0%
11,cloud-service-modification,4,1,2%,1%
12,cloud-storage-deletion,1,0,1%,0%
13,command-execution,109,232,48%,43%
14,container-creation,7,4,4%,1%
15,container-enumeration,1,0,1%,0%
16,container-start,3,1,2%,1%
17,domain-registration,2,2,1%,1%
18,drive-access,3,2,2%,1%
19,drive-creation,5,1,3%,1%
20,drive-modification,4,4,2%,1%
21,driver-load,10,11,5%,2%
22,driver-metadata,2,2,1%,1%
23,file-access,25,23,11%,5%
24,file-creation,39,105,18%,20%
25,file-deletion,5,8,3%,2%
26,file-metadata,16,33,8%,6%
27,file-modification,44,130,20%,24%
28,firewall-disable,1,2,1%,1%
29,firewall-enumeration,1,1,1%,1%
30,firewall-metadata,1,1,1%,1%
31,firewall-rule-modification,2,3,1%,1%
32,firmware-modification,5,9,3%,2%
33,group-enumeration,1,5,1%,1%
34,group-metadata,1,1,1%,1%
35,host-status,6,11,3%,2%
36,image-creation,3,1,2%,1%
37,image-deletion,1,0,1%,0%
38,image-metadata,2,2,1%,1%
39,image-modification,1,0,1%,0%
40,instance-creation,3,2,2%,1%
41,instance-deletion,2,1,1%,1%
42,instance-metadata,2,3,1%,1%
43,instance-modification,1,1,1%,1%
44,instance-start,2,2,1%,1%
45,instance-stop,1,1,1%,1%
46,logon-session-creation,19,45,9%,9%
47,logon-session-metadata,9,15,4%,3%
48,malware-content,2,2,1%,1%
49,malware-metadata,2,5,1%,1%
50,module-load,24,71,11%,13%
51,network-connection-creation,37,34,17%,7%
52,network-share-access,5,1,3%,1%
53,network-traffic-content,55,59,25%,11%
54,network-traffic-flow,44,50,20%,10%
55,os-api-execution,55,80,25%,15%
56,passive-dns,2,3,1%,1%
57,pod-creation,2,0,1%,0%
58,pod-enumeration,1,0,1%,0%
59,pod-modification,2,0,1%,0%
60,process-access,11,22,5%,4%
61,process-creation,107,202,47%,37%
62,process-metadata,10,14,5%,3%
63,process-modification,3,16,2%,3%
64,response-content,6,19,3%,4%
65,response-metadata,2,4,1%,1%
66,scheduled-job-creation,3,15,2%,3%
67,scheduled-job-metadata,1,1,1%,1%
68,scheduled-job-modification,2,2,1%,1%
69,script-execution,14,16,7%,3%
70,service-creation,7,14,4%,3%
71,service-metadata,9,9,4%,2%
72,service-modification,6,12,3%,3%
73,snapshot-creation,2,1,1%,1%
74,snapshot-deletion,2,0,1%,0%
75,snapshot-metadata,2,1,1%,1%
76,snapshot-modification,2,0,1%,0%
77,social-media,2,2,1%,1%
78,user-account-authentication,16,32,8%,6%
79,user-account-creation,2,4,1%,1%
80,user-account-metadata,4,6,2%,2%
81,volume-creation,1,0,1%,0%
82,volume-deletion,2,0,1%,0%
83,volume-metadata,1,0,1%,0%
84,volume-modification,2,0,1%,0%
85,web-credential-creation,1,1,1%,1%
86,web-credential-usage,3,6,2%,2%
87,windows-registry-key-access,5,4,3%,1%
88,windows-registry-key-creation,10,17,5%,4%
89,windows-registry-key-deletion,3,2,2%,1%
90,windows-registry-key-modification,30,73,14%,14%
