INDEX,TECHNIQUE,TECHNIQUE NAME,TACTICS,PLATFORMS,DATASOURCES,ADVERSARIES,MALWARE,TOOLS
1,T1001,Data Obfuscation,1,3,1,0,6,0
2,T1001.001,Junk Data,1,3,1,1,13,0
3,T1001.002,Steganography,1,3,1,2,8,1
4,T1001.003,Protocol Impersonation,1,3,1,2,11,0
5,T1003,OS Credential Dumping,1,3,9,9,6,0
6,T1003.001,LSASS Memory,1,1,4,32,13,10
7,T1003.002,Security Account Manager,1,1,3,6,8,7
8,T1003.003,NTDS,1,1,2,11,0,4
9,T1003.004,LSA Secrets,1,1,2,8,2,7
10,T1003.005,Cached Domain Credentials,1,1,1,4,1,3
11,T1003.006,DCSync,1,1,3,4,0,1
12,T1003.007,Proc Filesystem,1,1,2,0,0,2
13,T1003.008,/etc/passwd and /etc/shadow,1,1,2,0,0,1
14,T1005,Data from Local System,1,4,5,32,121,9
15,T1006,Direct Volume Access,1,1,2,0,0,0
16,T1007,System Service Discovery,1,3,3,13,39,4
17,T1008,Fallback Channels,1,3,2,4,43,1
18,T1010,Application Window Discovery,1,3,3,2,26,1
19,T1011,Exfiltration Over Other Network Medium,1,3,5,0,0,0
20,T1011.001,Exfiltration Over Bluetooth,1,3,5,0,1,0
21,T1012,Query Registry,1,1,4,12,80,4
22,T1014,Rootkit,1,3,3,5,19,1
23,T1016,System Network Configuration Discovery,1,4,4,33,172,17
24,T1016.001,Internet Connection Discovery,1,3,2,5,7,0
25,T1018,Remote System Discovery,1,4,4,27,34,10
26,T1020,Automated Exfiltration,1,4,6,4,14,2
27,T1020.001,Traffic Duplication,1,1,2,0,0,0
28,T1021,Remote Services,1,3,7,0,3,0
29,T1021.001,Remote Desktop Protocol,1,1,4,27,12,4
30,T1021.002,SMB/Windows Admin Shares,1,1,5,19,20,2
31,T1021.003,Distributed Component Object Model,1,1,3,0,1,2
32,T1021.004,SSH,1,2,3,12,2,1
33,T1021.005,VNC,1,3,3,4,6,0
34,T1021.006,Windows Remote Management,1,1,5,5,1,1
35,T1025,Data from Removable Media,1,3,2,3,19,0
36,T1027,Obfuscated Files or Information,1,3,6,66,242,12
37,T1027.001,Binary Padding,1,3,1,10,23,0
38,T1027.002,Software Packing,1,3,1,19,61,2
39,T1027.003,Steganography,1,3,1,8,17,1
40,T1027.004,Compile After Delivery,1,3,4,3,4,0
41,T1027.005,Indicator Removal from Tools,1,3,1,7,8,1
42,T1027.006,HTML Smuggling,1,3,1,1,1,0
43,T1027.007,Dynamic API Resolution,1,1,3,1,2,0
44,T1027.008,Stripped Payloads,1,3,1,0,1,0
45,T1027.009,Embedded Payloads,1,3,2,0,4,1
46,T1029,Scheduled Transfer,1,3,2,1,16,0
47,T1030,Data Transfer Size Limits,1,3,2,2,10,2
48,T1033,System Owner/User Discovery,1,3,9,28,147,7
49,T1036,Masquerading,1,4,9,17,27,0
50,T1036.001,Invalid Code Signature,1,2,1,2,5,1
51,T1036.002,Right-to-Left Override,1,3,1,5,0,0
52,T1036.003,Rename System Utilities,1,3,4,4,2,0
53,T1036.004,Masquerade Task or Service,1,3,5,18,46,2
54,T1036.005,Match Legitimate Name or Location,1,4,3,45,101,3
55,T1036.006,Space after Filename,1,2,1,0,1,0
56,T1036.007,Double File Extension,1,1,2,1,2,0
57,T1037,Boot or Logon Initialization Scripts,2,3,6,1,0,0
58,T1037.001,Logon Script (Windows),2,1,3,2,4,0
59,T1037.002,Login Hook,2,1,4,0,0,0
60,T1037.003,Network Logon Script,2,1,5,0,0,0
61,T1037.004,RC Scripts,2,2,4,0,4,0
62,T1037.005,Startup Items,2,1,4,0,1,0
63,T1039,Data from Network Shared Drive,1,3,5,7,4,0
64,T1040,Network Sniffing,2,5,2,6,5,5
65,T1041,Exfiltration Over C2 Channel,1,3,5,17,107,7
66,T1046,Network Service Discovery,1,6,3,20,21,7
67,T1047,Windows Management Instrumentation,1,1,3,27,59,7
68,T1048,Exfiltration Over Alternative Protocol,1,3,5,1,6,0
69,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,1,3,5,0,0,0
70,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,1,3,5,3,0,1
71,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,1,3,5,8,15,3
72,T1049,System Network Connections Discovery,1,5,3,25,45,9
73,T1052,Exfiltration Over Physical Medium,1,3,4,0,0,0
74,T1052.001,Exfiltration over USB,1,3,4,2,5,0
75,T1053,Scheduled Task/Job,3,4,6,1,3,0
76,T1053.001,At (Linux),3,1,0,0,0,0
77,T1053.002,At,3,3,4,3,1,2
78,T1053.003,Cron,3,2,4,2,10,0
79,T1053.005,Scheduled Task,3,1,5,42,79,8
80,T1053.006,Systemd Timers,3,1,4,0,0,0
81,T1053.007,Container Orchestration Job,3,1,3,0,0,0
82,T1055,Process Injection,2,3,7,8,42,9
83,T1055.001,Dynamic-link Library Injection,2,1,5,8,45,4
84,T1055.002,Portable Executable Injection,2,1,3,2,5,0
85,T1055.003,Thread Execution Hijacking,2,1,3,0,3,0
86,T1055.004,Asynchronous Procedure Call,2,1,3,1,8,0
87,T1055.005,Thread Local Storage,2,1,3,0,1,0
88,T1055.008,Ptrace System Calls,2,1,3,0,0,0
89,T1055.009,Proc Memory,2,1,1,0,0,0
90,T1055.011,Extra Window Memory Injection,2,1,1,0,2,0
91,T1055.012,Process Hollowing,2,1,3,5,23,0
92,T1055.013,Process Doppelgänging,2,1,2,1,2,0
93,T1055.014,VDSO Hijacking,2,1,2,0,0,0
94,T1055.015,ListPlanting,2,1,2,0,1,0
95,T1056,Input Capture,2,4,6,1,3,0
96,T1056.001,Keylogging,2,4,3,23,98,9
97,T1056.002,GUI Input Capture,2,3,3,1,8,1
98,T1056.003,Web Portal Capture,2,3,1,0,1,0
99,T1056.004,Credential API Hooking,2,1,2,1,9,1
100,T1057,Process Discovery,1,3,3,33,192,10
101,T1059,Command and Scripting Interpreter,1,4,5,14,15,3
102,T1059.001,PowerShell,1,1,5,64,82,10
103,T1059.002,AppleScript,1,1,3,0,4,0
104,T1059.003,Windows Command Shell,1,1,2,56,234,9
105,T1059.004,Unix Shell,1,2,2,3,28,0
106,T1059.005,Visual Basic,1,3,4,40,55,2
107,T1059.006,Python,1,3,2,13,20,5
108,T1059.007,JavaScript,1,3,4,18,20,1
109,T1059.008,Network Device CLI,1,1,1,0,0,0
110,T1068,Exploitation for Privilege Escalation,1,4,2,15,14,2
111,T1069,Permission Groups Discovery,1,9,5,4,5,1
112,T1069.001,Local Groups,1,3,4,6,14,4
113,T1069.002,Domain Groups,1,3,4,7,10,6
114,T1069.003,Cloud Groups,1,5,5,0,0,2
115,T1070,Indicator Removal,1,7,12,3,18,3
116,T1070.001,Clear Windows Event Logs,1,1,3,9,14,2
117,T1070.002,Clear Linux or Mac System Logs,1,2,3,2,2,0
118,T1070.003,Clear Command History,1,4,4,5,2,0
119,T1070.004,File Deletion,1,3,2,37,190,6
120,T1070.005,Network Share Connection Removal,1,1,4,1,2,1
