INDEX,TOOL,ADVERSARIES,TACTICS,TECHNIQUES,% TECHNIQUES
1,net,27,5,15,2%
2,remoteutilities,1,4,4,1%
3,bloodhound,4,3,12,2%
4,certutil,9,2,3,1%
5,at,3,3,1,1%
6,uacme,0,2,1,1%
7,shimratreporter,1,6,16,3%
8,sliver,1,6,15,2%
9,silenttrinity,0,10,47,7%
10,powersploit,9,7,28,4%
11,windows-credential-editor,7,1,1,1%
12,impacket,5,4,9,2%
13,ipconfig,12,1,1,1%
14,aadinternals,1,8,21,3%
15,tasklist,9,1,3,1%
16,lslsass,1,1,1,1%
17,arp,3,1,2,1%
18,spwebmember,1,1,1,1%
19,empire,14,10,72,10%
20,ifconfig,0,1,1,1%
21,dsquery,1,1,3,1%
22,pcshare,0,9,20,3%
23,rawdisk,1,1,3,1%
24,netstat,8,1,1,1%
25,poshc2,2,9,32,5%
26,fgdump,0,1,1,1%
27,xcmd,1,1,1,1%
28,cspy-downloader,1,6,12,2%
29,rclone,0,3,6,1%
30,mimipenguin,1,1,1,1%
31,netsh,6,5,4,1%
32,carrotball,0,3,4,1%
33,bitsadmin,5,5,4,1%
34,meek,1,1,1,1%
35,roadtools,1,6,6,1%
36,peirates,1,9,12,2%
37,remcos,2,8,16,3%
38,systeminfo,8,1,1,1%
39,out1,1,4,5,1%
40,connectwise,2,2,3,1%
41,imminent-monitor,1,8,16,3%
42,ruler,1,2,4,1%
43,forfiles,1,3,3,1%
44,winexe,3,1,1,1%
45,mcmd,1,6,10,2%
46,nltest,3,1,3,1%
47,mailsniper,1,3,3,1%
48,sqlmap,1,1,1,1%
49,pwdump,6,1,1,1%
50,responder,2,3,2,1%
51,pass-the-hash-toolkit,1,2,1,1%
52,donut,1,5,15,2%
53,mimikatz,43,5,17,3%
54,gsecdump,5,1,2,1%
55,ironnetinjector,1,5,8,2%
56,nbtstat,1,1,2,1%
57,invoke-psimage,1,1,2,1%
58,nbtscan,8,2,5,1%
59,lazagne,9,1,10,2%
60,ping,9,1,1,1%
61,cmd,5,5,6,1%
62,route,2,1,1,1%
63,esentutl,2,5,5,1%
64,crackmapexec,4,7,20,3%
65,koadic,4,9,27,4%
66,schtasks,3,3,1,1%
67,cachedump,1,1,1,1%
68,expand,0,2,3,1%
69,pupy,2,10,40,6%
70,reg,5,3,3,1%
71,ftp,5,3,3,1%
72,mythic,0,3,13,2%
73,htran,2,3,3,1%
74,sdelete,4,2,2,1%
75,quasarrat,5,9,24,4%
76,tor,3,1,2,1%
77,adfind,7,1,5,1%
78,wevtutil,1,2,3,1%
79,havij,1,1,1,1%
80,psexec,30,4,5,1%
